title,author,price,pub,pub_date
자바/스프링 개발자를 위한 실용주의 프로그래밍,김우근,28800,위키북스,2024년 06월 11일
면접을 위한 CS 전공지식 노트,주홍철,0,길벗,2022년 05월 06일
개발자 원칙,박성철,19800,골든래빗(주),2022년 12월 20일
개발자를 위한 생각의 정리 문서 작성법,카이마이 미즈히로,18000,프리렉,2024년 05월 17일
개발자를 위한 필수 수학,토머스 닐드,0,한빛미디어,2024년 06월 03일
개발자 기술 면접 노트,이남희,19800,한빛미디어,2024년 03월 25일
인공지능 구조 원리 교과서,송경빈,17820,보누스,2024년 03월 25일
Real MySQL 8.0 (1권),백은빈,27000,위키북스,2021년 09월 08일
Do it! IT 서비스 이해를 위한 네트워크 기초,심준보,19800,이지스퍼블리싱,2024년 07월 08일
스프링 부트 3 백엔드 개발자 되기_ 자바 편,신선영,28800,골든래빗(주),2024년 04월 05일
